Chromosome	RefSeq	GenBank	Ensembl	Length
chrUn0458	NW_003159782.1	GL019152	GL019152	190423
chrUn0459	NW_003159783.1	GL019153	GL019153	145032
chrUn0460	NW_003159784.1	GL019154	GL019154	142860
chrUn0461	NW_003159785.1	GL019155	GL019155	143211
chrUn0462	NW_003159786.1	GL019156	GL019156	164977
chrUn0463	NW_003159787.1	GL019157	GL019157	139311
chrUn0464	NW_003159788.1	GL019158	GL019158	137024
chrUn0465	NW_003159789.1	GL019159	GL019159	151609
chrUn0466	NW_003159790.1	GL019160	GL019160	144779
chrUn0467	NW_003159791.1	AAGW02078537	AAGW02078537	132808
chrUn0468	NW_003159792.1	GL019161	GL019161	137074
chrUn0469	NW_003159793.1	GL019162	GL019162	140299
chrUn0470	NW_003159794.1	GL019163	GL019163	142873
chrUn0471	NW_003159795.1	GL019164	GL019164	134098
chrUn0472	NW_003159796.1	GL019165	GL019165	134231
chrUn0473	NW_003159797.1	GL019166	GL019166	138172
chrUn0474	NW_003159798.1	GL019167	GL019167	134657
chrUn0475	NW_003159799.1	GL019168	GL019168	134607
chrUn0476	NW_003159800.1	GL019169	GL019169	131533
chrUn0477	NW_003159801.1	GL019170	GL019170	138640
chrUn0478	NW_003159802.1	GL019171	GL019171	130691
chrUn0479	NW_003159803.1	GL019172	GL019172	141332
chrUn0480	NW_003159804.1	GL019173	GL019173	150105
chrUn0481	NW_003159805.1	GL019174	GL019174	135422
chrUn0482	NW_003159806.1	GL019175	GL019175	127558
chrUn0483	NW_003159807.1	GL019176	GL019176	126367
chrUn0484	NW_003159808.1	GL019177	GL019177	133969
chrUn0485	NW_003159809.1	GL019178	GL019178	131016
chrUn0486	NW_003159810.1	GL019179	GL019179	128190
chrUn0487	NW_003159811.1	GL019180	GL019180	149117
chrUn0488	NW_003159812.1	GL019181	GL019181	128397
chrUn0489	NW_003159813.1	GL019182	GL019182	139425
chrUn0490	NW_003159814.1	GL019183	GL019183	131772
chrUn0491	NW_003159815.1	GL019184	GL019184	124438
chrUn0492	NW_003159816.1	GL019185	GL019185	126005
chrUn0493	NW_003159817.1	GL019186	GL019186	246194
chrUn0494	NW_003159818.1	GL019187	GL019187	135018
chrUn0495	NW_003159819.1	GL019188	GL019188	119548
chrUn0496	NW_003159820.1	GL019189	GL019189	119290
chrUn0497	NW_003159821.1	AAGW02078775	AAGW02078775	117269
chrUn0498	NW_003159822.1	GL019190	GL019190	117185
chrUn0499	NW_003159823.1	GL019191	GL019191	147351
chrUn0500	NW_003159824.1	GL019192	GL019192	123711
chrUn0501	NW_003159825.1	GL019193	GL019193	127346
chrUn0502	NW_003159826.1	GL019194	GL019194	143692
chrUn0503	NW_003159827.1	GL019195	GL019195	118240
chrUn0504	NW_003159828.1	GL019196	GL019196	137855
chrUn0505	NW_003159829.1	GL019197	GL019197	120485
chrUn0506	NW_003159830.1	GL019198	GL019198	117843
chrUn0507	NW_003159831.1	GL019199	GL019199	118596
chrUn0508	NW_003159832.1	GL019200	GL019200	141096
chrUn0509	NW_003159833.1	GL019201	GL019201	120290
chrUn0510	NW_003159834.1	GL019202	GL019202	116068
chrUn0511	NW_003159835.1	GL019203	GL019203	150557
chrUn0512	NW_003159836.1	GL019204	GL019204	121010
chrUn0513	NW_003159837.1	GL019205	GL019205	112540
chrUn0514	NW_003159838.1	GL019206	GL019206	129833
chrUn0515	NW_003159839.1	GL019207	GL019207	114351
chrUn0516	NW_003159840.1	GL019208	GL019208	111576
chrUn0517	NW_003159841.1	GL019209	GL019209	120521
chrUn0518	NW_003159842.1	GL019210	GL019210	108523
chrUn0519	NW_003159843.1	GL019211	GL019211	111149
chrUn0520	NW_003159844.1	GL019212	GL019212	136252
chrUn0521	NW_003159845.1	GL019213	GL019213	128850
chrUn0522	NW_003159846.1	GL019214	GL019214	108837
chrUn0523	NW_003159847.1	GL019215	GL019215	112770
chrUn0524	NW_003159848.1	GL019216	GL019216	137899
chrUn0525	NW_003159849.1	AAGW02078982	AAGW02078982	106498
chrUn0526	NW_003159850.1	GL019217	GL019217	111472
chrUn0527	NW_003159851.1	GL019218	GL019218	125614
chrUn0528	NW_003159852.1	GL019219	GL019219	231465
chrUn0529	NW_003159853.1	GL019220	GL019220	109814
chrUn0530	NW_003159854.1	GL019221	GL019221	111151
chrUn0531	NW_003159855.1	GL019222	GL019222	117911
chrUn0532	NW_003159856.1	GL019223	GL019223	245319
chrUn0533	NW_003159857.1	GL019224	GL019224	105822
chrUn0534	NW_003159858.1	GL019225	GL019225	232398
chrUn0535	NW_003159859.1	GL019226	GL019226	122750
chrUn0536	NW_003159860.1	GL019227	GL019227	109424
chrUn0537	NW_003159861.1	GL019228	GL019228	120391
chrUn0538	NW_003159862.1	GL019229	GL019229	106010
chrUn0539	NW_003159863.1	GL019230	GL019230	126764
chrUn0540	NW_003159864.1	GL019231	GL019231	103096
chrUn0541	NW_003159865.1	GL019232	GL019232	106563
chrUn0542	NW_003159866.1	GL019233	GL019233	103851
chrUn0543	NW_003159867.1	AAGW02079106	AAGW02079106	101026
chrUn0544	NW_003159868.1	GL019234	GL019234	109703
chrUn0545	NW_003159869.1	GL019235	GL019235	104580
chrUn0546	NW_003159870.1	GL019236	GL019236	106155
chrUn0547	NW_003159871.1	GL019237	GL019237	103416
chrUn0548	NW_003159872.1	GL019238	GL019238	101500
chrUn0549	NW_003159873.1	GL019239	GL019239	98708
chrUn0550	NW_003159874.1	GL019240	GL019240	100982
chrUn0551	NW_003159875.1	AAGW02079147	AAGW02079147	97990
chrUn0552	NW_003159876.1	GL019241	GL019241	98088
chrUn0553	NW_003159877.1	GL019242	GL019242	122979
chrUn0554	NW_003159878.1	GL019243	GL019243	97796
chrUn0555	NW_003159879.1	GL019244	GL019244	98670
chrUn0556	NW_003159880.1	GL019245	GL019245	97722
chrUn0557	NW_003159881.1	AAGW02079168	AAGW02079168	96988
chrUn0558	NW_003159882.1	GL019246	GL019246	99308
chrUn0559	NW_003159883.1	GL019247	GL019247	96757
chrUn0560	NW_003159884.1	AAGW02079180	AAGW02079180	96534
chrUn0561	NW_003159885.1	AAGW02079181	AAGW02079181	96430
chrUn0562	NW_003159886.1	AAGW02079182	AAGW02079182	96397
chrUn0563	NW_003159887.1	GL019248	GL019248	97556
chrUn0564	NW_003159888.1	GL019249	GL019249	104488
chrUn0565	NW_003159889.1	GL019250	GL019250	100819
chrUn0566	NW_003159890.1	GL019251	GL019251	96131
chrUn0567	NW_003159891.1	AAGW02079214	AAGW02079214	95320
chrUn0568	NW_003159892.1	GL019252	GL019252	97705
chrUn0569	NW_003159893.1	GL019253	GL019253	118113
chrUn0570	NW_003159894.1	GL019254	GL019254	96091
chrUn0571	NW_003159895.1	GL019255	GL019255	100375
chrUn0572	NW_003159896.1	AAGW02079242	AAGW02079242	94623
chrUn0573	NW_003159897.1	GL019256	GL019256	97100
chrUn0574	NW_003159898.1	GL019257	GL019257	101231
chrUn0575	NW_003159899.1	GL019258	GL019258	97534
chrUn0576	NW_003159900.1	GL019259	GL019259	104946
chrUn0577	NW_003159901.1	GL019260	GL019260	97284
chrUn0578	NW_003159902.1	GL019261	GL019261	100523
chrUn0579	NW_003159903.1	GL019262	GL019262	97522
chrUn0580	NW_003159904.1	GL019263	GL019263	96347
chrUn0581	NW_003159905.1	GL019264	GL019264	95262
chrUn0582	NW_003159906.1	GL019265	GL019265	92728
chrUn0583	NW_003159907.1	AAGW02079307	AAGW02079307	91682
chrUn0584	NW_003159908.1	GL019266	GL019266	98091
chrUn0585	NW_003159909.1	GL019267	GL019267	97919
chrUn0586	NW_003159910.1	AAGW02079327	AAGW02079327	90731
chrUn0587	NW_003159911.1	GL019268	GL019268	92417
chrUn0588	NW_003159912.1	GL019269	GL019269	93068
chrUn0589	NW_003159913.1	GL019270	GL019270	91238
chrUn0590	NW_003159914.1	GL019271	GL019271	89743
chrUn0591	NW_003159915.1	GL019272	GL019272	95263
chrUn0592	NW_003159916.1	GL019273	GL019273	93072
chrUn0593	NW_003159917.1	AAGW02079371	AAGW02079371	87874
chrUn0594	NW_003159918.1	GL019274	GL019274	93641
chrUn0595	NW_003159919.1	GL019275	GL019275	94439
chrUn0596	NW_003159920.1	GL019276	GL019276	88831
chrUn0597	NW_003159921.1	GL019277	GL019277	91004
chrUn0598	NW_003159922.1	GL019278	GL019278	120098
chrUn0599	NW_003159923.1	GL019279	GL019279	89246
chrUn0600	NW_003159924.1	GL019280	GL019280	90186
chrUn0601	NW_003159925.1	GL019281	GL019281	87198
chrUn0602	NW_003159926.1	GL019282	GL019282	98075
chrUn0603	NW_003159927.1	GL019283	GL019283	93365
chrUn0604	NW_003159928.1	GL019284	GL019284	86927
chrUn0605	NW_003159929.1	GL019285	GL019285	90196
chrUn0606	NW_003159930.1	GL019286	GL019286	116521
chrUn0607	NW_003159931.1	AAGW02079457	AAGW02079457	84855
chrUn0608	NW_003159932.1	GL019287	GL019287	93611
chrUn0609	NW_003159933.1	AAGW02079465	AAGW02079465	84784
chrUn0610	NW_003159934.1	GL019288	GL019288	118457
chrUn0611	NW_003159935.1	AAGW02079469	AAGW02079469	84615
chrUn0612	NW_003159936.1	GL019289	GL019289	87749
chrUn0613	NW_003159937.1	GL019290	GL019290	94544
chrUn0614	NW_003159938.1	GL019291	GL019291	84653
chrUn0615	NW_003159939.1	GL019292	GL019292	99642
chrUn0616	NW_003159940.1	GL019293	GL019293	86361
chrUn0617	NW_003159941.1	GL019294	GL019294	97951
chrUn0618	NW_003159942.1	AAGW02079515	AAGW02079515	82703
chrUn0619	NW_003159943.1	GL019295	GL019295	90359
chrUn0620	NW_003159944.1	GL019296	GL019296	83603
chrUn0621	NW_003159945.1	GL019297	GL019297	84088
chrUn0622	NW_003159946.1	GL019298	GL019298	92267
chrUn0623	NW_003159947.1	GL019299	GL019299	85234
chrUn0624	NW_003159948.1	GL019300	GL019300	87122
chrUn0625	NW_003159949.1	GL019301	GL019301	82070
chrUn0626	NW_003159950.1	GL019302	GL019302	86283
chrUn0627	NW_003159951.1	GL019303	GL019303	83214
chrUn0628	NW_003159952.1	GL019304	GL019304	83145
chrUn0629	NW_003159953.1	GL019305	GL019305	81277
chrUn0630	NW_003159954.1	GL019306	GL019306	99252
chrUn0631	NW_003159955.1	AAGW02079587	AAGW02079587	80569
chrUn0632	NW_003159956.1	AAGW02079588	AAGW02079588	80385
chrUn0633	NW_003159957.1	GL019307	GL019307	80800
chrUn0634	NW_003159958.1	GL019308	GL019308	88228
chrUn0635	NW_003159959.1	GL019309	GL019309	82933
chrUn0636	NW_003159960.1	GL019310	GL019310	88025
chrUn0637	NW_003159961.1	GL019311	GL019311	80506
chrUn0638	NW_003159962.1	GL019312	GL019312	83238
chrUn0639	NW_003159963.1	GL019313	GL019313	101776
chrUn0640	NW_003159964.1	GL019314	GL019314	92708
chrUn0641	NW_003159965.1	GL019315	GL019315	77841
chrUn0642	NW_003159966.1	GL019316	GL019316	78610
chrUn0643	NW_003159967.1	GL019317	GL019317	78928
chrUn0644	NW_003159968.1	GL019318	GL019318	81503
chrUn0645	NW_003159969.1	AAGW02079656	AAGW02079656	76610
chrUn0646	NW_003159970.1	AAGW02079657	AAGW02079657	76569
chrUn0647	NW_003159971.1	AAGW02079658	AAGW02079658	76562
chrUn0648	NW_003159972.1	GL019319	GL019319	77551
chrUn0649	NW_003159973.1	GL019320	GL019320	197425
chrUn0650	NW_003159974.1	AAGW02079667	AAGW02079667	76328
chrUn0651	NW_003159975.1	GL019321	GL019321	78496
chrUn0652	NW_003159976.1	AAGW02079674	AAGW02079674	76269
chrUn0653	NW_003159977.1	GL019322	GL019322	75430
chrUn0654	NW_003159978.1	GL019323	GL019323	77498
chrUn0655	NW_003159979.1	GL019324	GL019324	75129
chrUn0656	NW_003159980.1	GL019325	GL019325	88119
chrUn0657	NW_003159981.1	AAGW02079688	AAGW02079688	74942
chrUn0658	NW_003159982.1	GL019326	GL019326	81722
chrUn0659	NW_003159983.1	GL019327	GL019327	78626
chrUn0660	NW_003159984.1	GL019328	GL019328	77491
chrUn0661	NW_003159985.1	AAGW02079709	AAGW02079709	73507
chrUn0662	NW_003159986.1	GL019329	GL019329	88536
chrUn0663	NW_003159987.1	GL019330	GL019330	77708
chrUn0664	NW_003159988.1	GL019331	GL019331	76138
chrUn0665	NW_003159989.1	GL019332	GL019332	73802
chrUn0666	NW_003159990.1	GL019333	GL019333	82166
chrUn0667	NW_003159991.1	GL019334	GL019334	72826
chrUn0668	NW_003159992.1	GL019335	GL019335	72640
chrUn0669	NW_003159993.1	AAGW02079742	AAGW02079742	71839
chrUn0670	NW_003159994.1	GL019336	GL019336	76307
chrUn0671	NW_003159995.1	GL019337	GL019337	75047
chrUn0672	NW_003159996.1	GL019338	GL019338	77667
chrUn0673	NW_003159997.1	GL019339	GL019339	82952
chrUn0674	NW_003159998.1	GL019340	GL019340	82042
chrUn0675	NW_003159999.1	GL019341	GL019341	219684
chrUn0676	NW_003160000.1	GL019342	GL019342	73034
chrUn0677	NW_003160001.1	GL019343	GL019343	71584
chrUn0678	NW_003160002.1	GL019344	GL019344	75748
chrUn0679	NW_003160003.1	GL019345	GL019345	70534
chrUn0680	NW_003160004.1	GL019346	GL019346	74097
chrUn0681	NW_003160005.1	GL019347	GL019347	70888
chrUn0682	NW_003160006.1	AAGW02079814	AAGW02079814	69345
chrUn0683	NW_003160007.1	GL019348	GL019348	71750
chrUn0684	NW_003160008.1	GL019349	GL019349	79507
chrUn0685	NW_003160009.1	GL019350	GL019350	69899
chrUn0686	NW_003160010.1	GL019351	GL019351	72107
chrUn0687	NW_003160011.1	GL019352	GL019352	88987
chrUn0688	NW_003160012.1	GL019353	GL019353	78438
chrUn0689	NW_003160013.1	GL019354	GL019354	71998
chrUn0690	NW_003160014.1	AAGW02079860	AAGW02079860	66837
chrUn0691	NW_003160015.1	GL019355	GL019355	71018
chrUn0692	NW_003160016.1	GL019356	GL019356	72230
chrUn0693	NW_003160017.1	GL019357	GL019357	66710
chrUn0694	NW_003160018.1	GL019358	GL019358	66430
chrUn0695	NW_003160019.1	GL019359	GL019359	78217
chrUn0696	NW_003160020.1	GL019360	GL019360	73448
chrUn0697	NW_003160021.1	GL019361	GL019361	73800
chrUn0698	NW_003160022.1	GL019362	GL019362	66669
chrUn0699	NW_003160023.1	GL019363	GL019363	68104
chrUn0700	NW_003160024.1	AAGW02079913	AAGW02079913	65376
chrUn0701	NW_003160025.1	GL019364	GL019364	74422
chrUn0702	NW_003160026.1	GL019365	GL019365	65056
chrUn0703	NW_003160027.1	GL019366	GL019366	65954
chrUn0704	NW_003160028.1	GL019367	GL019367	65588
chrUn0705	NW_003160029.1	GL019368	GL019368	65066
chrUn0706	NW_003160030.1	GL019369	GL019369	67396
chrUn0707	NW_003160031.1	GL019370	GL019370	65519
chrUn0708	NW_003160032.1	GL019371	GL019371	65094
chrUn0709	NW_003160033.1	GL019372	GL019372	72474
chrUn0710	NW_003160034.1	AAGW02079954	AAGW02079954	64289
chrUn0711	NW_003160035.1	GL019373	GL019373	64340
chrUn0712	NW_003160036.1	GL019374	GL019374	71287
chrUn0713	NW_003160037.1	GL019375	GL019375	79170
chrUn0714	NW_003160038.1	GL019376	GL019376	63655
chrUn0715	NW_003160039.1	GL019377	GL019377	74631
chrUn0716	NW_003160040.1	GL019378	GL019378	64219
chrUn0717	NW_003160041.1	GL019379	GL019379	63724
chrUn0718	NW_003160042.1	AAGW02079977	AAGW02079977	63113
chrUn0719	NW_003160043.1	GL019380	GL019380	64208
chrUn0720	NW_003160044.1	GL019381	GL019381	92871
chrUn0721	NW_003160045.1	GL019382	GL019382	62774
chrUn0722	NW_003160046.1	GL019383	GL019383	64055
chrUn0723	NW_003160047.1	GL019384	GL019384	65074
chrUn0724	NW_003160048.1	GL019385	GL019385	63166
chrUn0725	NW_003160049.1	AAGW02079997	AAGW02079997	61654
chrUn0726	NW_003160050.1	GL019386	GL019386	110231
chrUn0727	NW_003160051.1	GL019387	GL019387	63002
chrUn0728	NW_003160052.1	GL019388	GL019388	61763
chrUn0729	NW_003160053.1	GL019389	GL019389	65979
chrUn0730	NW_003160054.1	GL019390	GL019390	63465
chrUn0731	NW_003160055.1	GL019391	GL019391	64013
chrUn0732	NW_003160056.1	GL019392	GL019392	61830
chrUn0733	NW_003160057.1	GL019393	GL019393	62864
chrUn0734	NW_003160058.1	GL019394	GL019394	72531
chrUn0735	NW_003160059.1	GL019395	GL019395	60788
chrUn0736	NW_003160060.1	AAGW02080057	AAGW02080057	59892
chrUn0737	NW_003160061.1	GL019396	GL019396	66866
chrUn0738	NW_003160062.1	GL019397	GL019397	70205
chrUn0739	NW_003160063.1	GL019398	GL019398	59464
chrUn0740	NW_003160064.1	AAGW02080074	AAGW02080074	59322
chrUn0741	NW_003160065.1	GL019399	GL019399	64129
chrUn0742	NW_003160066.1	GL019400	GL019400	65634
chrUn0743	NW_003160067.1	GL019401	GL019401	59729
chrUn0744	NW_003160068.1	AAGW02080085	AAGW02080085	58743
chrUn0745	NW_003160069.1	GL019402	GL019402	60674
chrUn0746	NW_003160070.1	GL019403	GL019403	58705
chrUn0747	NW_003160071.1	AAGW02080094	AAGW02080094	58007
chrUn0748	NW_003160072.1	GL019404	GL019404	59952
chrUn0749	NW_003160073.1	GL019405	GL019405	58126
chrUn0750	NW_003160074.1	AAGW02080103	AAGW02080103	57722
chrUn0751	NW_003160075.1	GL019406	GL019406	63682
chrUn0752	NW_003160076.1	GL019407	GL019407	72275
chrUn0753	NW_003160077.1	GL019408	GL019408	75520
chrUn0754	NW_003160078.1	GL019409	GL019409	62907
chrUn0755	NW_003160079.1	GL019410	GL019410	62108
chrUn0756	NW_003160080.1	GL019411	GL019411	59098
chrUn0757	NW_003160081.1	GL019412	GL019412	69107
chrUn0758	NW_003160082.1	GL019413	GL019413	69735
chrUn0759	NW_003160083.1	GL019414	GL019414	62617
chrUn0760	NW_003160084.1	GL019415	GL019415	58347
chrUn0761	NW_003160085.1	GL019416	GL019416	74780
chrUn0762	NW_003160086.1	GL019417	GL019417	59622
chrUn0763	NW_003160087.1	AAGW02080168	AAGW02080168	56471
chrUn0764	NW_003160088.1	GL019418	GL019418	73604
chrUn0765	NW_003160089.1	GL019419	GL019419	58092
chrUn0766	NW_003160090.1	GL019420	GL019420	57420
chrUn0767	NW_003160091.1	GL019421	GL019421	76915
chrUn0768	NW_003160092.1	GL019422	GL019422	64738
chrUn0769	NW_003160093.1	GL019423	GL019423	60317
chrUn0770	NW_003160094.1	GL019424	GL019424	59359
chrUn0771	NW_003160095.1	GL019425	GL019425	56018
chrUn0772	NW_003160096.1	AAGW02080217	AAGW02080217	55846
chrUn0773	NW_003160097.1	AAGW02080218	AAGW02080218	55830
chrUn0774	NW_003160098.1	GL019426	GL019426	59384
chrUn0775	NW_003160099.1	GL019427	GL019427	64064
chrUn0776	NW_003160100.1	AAGW02080234	AAGW02080234	55516
chrUn0777	NW_003160101.1	GL019428	GL019428	60121
chrUn0778	NW_003160102.1	AAGW02080240	AAGW02080240	55465
chrUn0779	NW_003160103.1	GL019429	GL019429	62494
chrUn0780	NW_003160104.1	AAGW02080250	AAGW02080250	55319
chrUn0781	NW_003160105.1	GL019430	GL019430	63453
chrUn0782	NW_003160106.1	GL019431	GL019431	56523
chrUn0783	NW_003160107.1	GL019432	GL019432	55362
chrUn0784	NW_003160108.1	GL019433	GL019433	59152
chrUn0785	NW_003160109.1	GL019434	GL019434	71748
chrUn0786	NW_003160110.1	GL019435	GL019435	58640
chrUn0787	NW_003160111.1	GL019436	GL019436	55738
chrUn0788	NW_003160112.1	GL019437	GL019437	56726
chrUn0789	NW_003160113.1	GL019438	GL019438	84624
chrUn0790	NW_003160114.1	GL019439	GL019439	55285
chrUn0791	NW_003160115.1	GL019440	GL019440	55703
chrUn0792	NW_003160116.1	GL019441	GL019441	56780
chrUn0793	NW_003160117.1	GL019442	GL019442	62937
chrUn0794	NW_003160118.1	GL019443	GL019443	57152
chrUn0795	NW_003160119.1	AAGW02080326	AAGW02080326	54301
chrUn0796	NW_003160120.1	AAGW02080327	AAGW02080327	54137
chrUn0797	NW_003160121.1	GL019444	GL019444	62780
chrUn0798	NW_003160122.1	GL019445	GL019445	54008
chrUn0799	NW_003160123.1	GL019446	GL019446	63373
chrUn0800	NW_003160124.1	GL019447	GL019447	56258
chrUn0801	NW_003160125.1	GL019448	GL019448	58762
chrUn0802	NW_003160126.1	GL019449	GL019449	56174
chrUn0803	NW_003160127.1	GL019450	GL019450	74894
chrUn0804	NW_003160128.1	GL019451	GL019451	53473
chrUn0805	NW_003160129.1	GL019452	GL019452	68214
chrUn0806	NW_003160130.1	GL019453	GL019453	59424
chrUn0807	NW_003160131.1	GL019454	GL019454	58448
chrUn0808	NW_003160132.1	AAGW02080385	AAGW02080385	53235
chrUn0809	NW_003160133.1	GL019455	GL019455	57139
chrUn0810	NW_003160134.1	GL019456	GL019456	56924
chrUn0811	NW_003160135.1	GL019457	GL019457	54027
chrUn0812	NW_003160136.1	GL019458	GL019458	66787
chrUn0813	NW_003160137.1	GL019459	GL019459	54897
chrUn0814	NW_003160138.1	GL019460	GL019460	54179
chrUn0815	NW_003160139.1	GL019461	GL019461	58498
chrUn0816	NW_003160140.1	GL019462	GL019462	63892
chrUn0817	NW_003160141.1	AAGW02080430	AAGW02080430	52004
chrUn0818	NW_003160142.1	GL019463	GL019463	53218
chrUn0819	NW_003160143.1	GL019464	GL019464	55143
chrUn0820	NW_003160144.1	AAGW02080442	AAGW02080442	51453
chrUn0821	NW_003160145.1	GL019465	GL019465	51331
chrUn0822	NW_003160146.1	GL019466	GL019466	53609
chrUn0823	NW_003160147.1	GL019467	GL019467	52745
chrUn0824	NW_003160148.1	GL019468	GL019468	61105
chrUn0825	NW_003160149.1	GL019469	GL019469	59413
chrUn0826	NW_003160150.1	GL019470	GL019470	56569
chrUn0827	NW_003160151.1	GL019471	GL019471	51637
chrUn0828	NW_003160152.1	GL019472	GL019472	67488
chrUn0829	NW_003160153.1	GL019473	GL019473	52264
chrUn0830	NW_003160154.1	AAGW02080481	AAGW02080481	50381
chrUn0831	NW_003160155.1	GL019474	GL019474	51529
chrUn0832	NW_003160156.1	GL019475	GL019475	51971
chrUn0833	NW_003160157.1	GL019476	GL019476	54483
chrUn0834	NW_003160158.1	GL019477	GL019477	49851
chrUn0835	NW_003160159.1	GL019478	GL019478	51789
chrUn0836	NW_003160160.1	AAGW02080504	AAGW02080504	49455
chrUn0837	NW_003160161.1	GL019479	GL019479	49492
chrUn0838	NW_003160162.1	GL019480	GL019480	56275
chrUn0839	NW_003160163.1	GL019481	GL019481	49334
chrUn0840	NW_003160164.1	GL019482	GL019482	51631
chrUn0841	NW_003160165.1	AAGW02080516	AAGW02080516	49206
chrUn0842	NW_003160166.1	AAGW02080517	AAGW02080517	49094
chrUn0843	NW_003160167.1	GL019483	GL019483	49493
chrUn0844	NW_003160168.1	GL019484	GL019484	53520
chrUn0845	NW_003160169.1	GL019485	GL019485	69554
chrUn0846	NW_003160170.1	GL019486	GL019486	54149
chrUn0847	NW_003160171.1	GL019487	GL019487	50362
chrUn0848	NW_003160172.1	AAGW02080545	AAGW02080545	48724
chrUn0849	NW_003160173.1	GL019488	GL019488	49038
chrUn0850	NW_003160174.1	GL019489	GL019489	50232
chrUn0851	NW_003160175.1	GL019490	GL019490	53046
chrUn0852	NW_003160176.1	GL019491	GL019491	49173
chrUn0853	NW_003160177.1	GL019492	GL019492	49520
chrUn0854	NW_003160178.1	GL019493	GL019493	63660
chrUn0855	NW_003160179.1	GL019494	GL019494	52150
chrUn0856	NW_003160180.1	GL019495	GL019495	62740
chrUn0857	NW_003160181.1	GL019496	GL019496	54711
chrUn0858	NW_003160182.1	GL019497	GL019497	53418
chrUn0859	NW_003160183.1	GL019498	GL019498	49887
chrUn0860	NW_003160184.1	GL019499	GL019499	53533
chrUn0861	NW_003160185.1	GL019500	GL019500	96271
chrUn0862	NW_003160186.1	AAGW02080608	AAGW02080608	47789
chrUn0863	NW_003160187.1	GL019501	GL019501	50441
chrUn0864	NW_003160188.1	AAGW02080613	AAGW02080613	47471
chrUn0865	NW_003160189.1	GL019502	GL019502	47538
chrUn0866	NW_003160190.1	GL019503	GL019503	49150
chrUn0867	NW_003160191.1	GL019504	GL019504	54531
chrUn0868	NW_003160192.1	GL019505	GL019505	64277
chrUn0869	NW_003160193.1	GL019506	GL019506	49849
chrUn0870	NW_003160194.1	GL019507	GL019507	50597
chrUn0871	NW_003160195.1	GL019508	GL019508	52555
chrUn0872	NW_003160196.1	GL019509	GL019509	46708
chrUn0873	NW_003160197.1	GL019510	GL019510	50299
chrUn0874	NW_003160198.1	GL019511	GL019511	65670
chrUn0875	NW_003160199.1	GL019512	GL019512	47391
chrUn0876	NW_003160200.1	AAGW02080665	AAGW02080665	46116
chrUn0877	NW_003160201.1	AAGW02080666	AAGW02080666	46084
chrUn0878	NW_003160202.1	GL019513	GL019513	47550
chrUn0879	NW_003160203.1	GL019514	GL019514	53437
chrUn0880	NW_003160204.1	GL019515	GL019515	51467
chrUn0881	NW_003160205.1	GL019516	GL019516	45868
chrUn0882	NW_003160206.1	GL019517	GL019517	46525
chrUn0883	NW_003160207.1	GL019518	GL019518	50877
chrUn0884	NW_003160208.1	GL019519	GL019519	46051
chrUn0885	NW_003160209.1	GL019520	GL019520	47886
chrUn0886	NW_003160210.1	AAGW02080695	AAGW02080695	45330
chrUn0887	NW_003160211.1	GL019521	GL019521	45746
chrUn0888	NW_003160212.1	AAGW02080699	AAGW02080699	45074
chrUn0889	NW_003160213.1	GL019522	GL019522	45975
chrUn0890	NW_003160214.1	GL019523	GL019523	47519
chrUn0891	NW_003160215.1	GL019524	GL019524	50874
chrUn0892	NW_003160216.1	GL019525	GL019525	45853
chrUn0893	NW_003160217.1	GL019526	GL019526	45536
chrUn0894	NW_003160218.1	GL019527	GL019527	50237
chrUn0895	NW_003160219.1	AAGW02080727	AAGW02080727	44290
chrUn0896	NW_003160220.1	GL019528	GL019528	54567
chrUn0897	NW_003160221.1	AAGW02080733	AAGW02080733	44141
chrUn0898	NW_003160222.1	AAGW02080734	AAGW02080734	44101
chrUn0899	NW_003160223.1	AAGW02080735	AAGW02080735	44066
chrUn0900	NW_003160224.1	GL019529	GL019529	51931
chrUn0901	NW_003160225.1	GL019530	GL019530	44135
chrUn0902	NW_003160226.1	GL019531	GL019531	49774
chrUn0903	NW_003160227.1	GL019532	GL019532	52298
chrUn0904	NW_003160228.1	AAGW02080755	AAGW02080755	43757
chrUn0905	NW_003160229.1	GL019533	GL019533	46752
chrUn0906	NW_003160230.1	GL019534	GL019534	47567
chrUn0907	NW_003160231.1	AAGW02080764	AAGW02080764	43386
chrUn0908	NW_003160232.1	GL019535	GL019535	47117
chrUn0909	NW_003160233.1	AAGW02080770	AAGW02080770	43350
chrUn0910	NW_003160234.1	GL019536	GL019536	43402
chrUn0911	NW_003160235.1	GL019537	GL019537	43599
chrUn0912	NW_003160236.1	GL019538	GL019538	45780
chrUn0913	NW_003160237.1	GL019539	GL019539	42991
chrUn0914	NW_003160238.1	GL019540	GL019540	46028
chrUn0915	NW_003160239.1	AAGW02080787	AAGW02080787	42686
chrUn0916	NW_003160240.1	GL019541	GL019541	44211
chrUn0917	NW_003160241.1	AAGW02080790	AAGW02080790	42511
chrUn0918	NW_003160242.1	AAGW02080791	AAGW02080791	42430
chrUn0919	NW_003160243.1	GL019542	GL019542	44779
chrUn0920	NW_003160244.1	GL019543	GL019543	43436
chrUn0921	NW_003160245.1	GL019544	GL019544	46013
chrUn0922	NW_003160246.1	GL019545	GL019545	44303
chrUn0923	NW_003160247.1	GL019546	GL019546	42827
chrUn0924	NW_003160248.1	GL019547	GL019547	42947
